好的	OK
活久見	witness
主动	initiative
灰常	very
人物	person
情懷	passion
黑歷史	past
噴子	trolls
原著黨	fans
上网	online
諾蘭黑	detractors
點讚之交	acquaintances
放空	relax
本寶寶	baby
掀起	trigger
摆脱	break away
发挥	display
小透明	nobody
大表姐	actress
理直气壮	self-confident
逆生長	no aging
黃桑	emperor
民宿	guesthouse
扶墻	shock
老濕	teacher
大事	major event
花式虐狗	hurt feelings
大表哥	actor
咱们	we
符合	agree
尬舞	street dance
狼系男	wolflike
雙標狗	double standard
不服來戰	confident
抖機靈	wisecrack
鼓动	encourage
不要不要	no
锦上添花	add splendor
開車	drive
躁起來	excited
敷衍	perfunctory
污力滔滔	talk dirty
作为	conduct
大体	in general
戲精	drama queen
麻辣雞	Nicki Minaj
熱單	hit single
只管	solely
渗透	permeate
接着	continue
开放	open-minded
自帶濾鏡	pre-installed filters
母上大人	mother
囧雪诺	Jon Snow
不忘初心	stick to beliefs
单身狗	single
激烈	intense
父上大人	father
没法儿	couldn't be
高司令	Ryan Gosling
斯巴達	crazy
油管	YouTube
不忍直視	cannot bear to look
司姬	female driver
女權婊	feminist bitch
阿姨粉	auntie fans
綠光	green light
撒狗糧	show affection
摩擦摩擦	friction
傻麅子	silly
女權癌	feminist
沒節操	unethical
机关	mechanism
第X彈	new
联想	associate
掌握	grasp
單身汪	single
你國	China
科學上網	surf
圍笑	smile
以为	think
相愛相殺	love-hate
老幹部	old cadre
成语	idiom
运行	function
窗口	window
咆哮教主	roaring
腦斧	tiger
寄刀片	mail blades
怎麼破	how to
作用	affect
顏藝	facial expression
致辞	express
盛世美顏	gorgeous
陳老師	Teacher Chen
认定	determine
花路	flower road
犀利哥	Brother Incisive
活捉一只	catch alive
黑古	Black Gu
雲吸貓	Cloud sniff cat
教科書般	textbook
乾貨	valuable information
人設	character design
內心戲	inner drama
语音	speech
有没有	have
中央空調	casanova
犬系男	doglike
土酷	provincial+cool
棄坑	abandon pit
事业	undertaking
之间	between
斜杠青年	slash youth
可以說是	it can be said
补刀	finish off
意思	idea
鋼鐵直男	iron straight men
某寶	some treasure
粉絲濾鏡	fan filter
Gay蜜	gay honey
砸簡歷	smash resumes
院长	head of an institution
小鮮肉	spring chicken
懟天懟地	lash out
啾咪	act cute
今日份	today's share
廢柴	loser
森女	mori girl
機智如我	witty like me
隐藏	hide
我們家	our home
麻竹	bookmarked
五毛黨	50 cent party
媽賣批	expletive
站臺	campaign for
錘哥	brother hammer
黑化	become black
菊外人	outsiders
洗地	clean the floor
朝陽群眾	people of Chaoyang District
貓奴	cat slave
霸道	despotic
王之蔑視	the king's contempt
慈母笑	warm smile
初心	original intention
標題黨	clickbait titles
活动	exercise
抓馬	dramatic
确定	definite
手賤	base
灌水	posting
新技能	new skill
韭菜	inexperienced investors
三連	string of three
雨神	Rain God
毀童年	destroy childhood
以夢為馬	dream dedication
放飛自我	careless abandon
三石弟弟	Three-stone Brother
大清已亡	outmoded
狗糧	self-pity
擦媽	Christina Aguilera
卓伟视角	Zhuo Wei’s perspective
后天	the day after tomorrow
渣渣輝	Trashy Hui
人畜无害	innocuous
暗中觀察	lurker
早F晚E	Fighting in the Morning, Emo in the Evening
原地爆炸	implode
尬吹	embarrassing praise
貓系男	catlike man
佛系分手	Buddhist breakup
科科	smirk
舉高高	hoist
轟趴	home party
水果姐	Katy Perry
血槽已空	empty blood groove
出场	to come onto the stage
耐撕	resilient
何老師	Teacher He
小李子	Leonardo Dicaprio
交代	to transfer
早C晚A	skincare routine
先森	Sir, mister
馬殺雞	massage
好奇寶寶	Curious baby
可鹽可甜	versatile
入手	begin; obtain
主角光環	lucky main character
求錘得錘	irrefutable evidence
启蒙	enlighten
环节	segment
暴露年齡	give away age
在家	at home
目測要火	go viral
炒雞	extremely
碎成渣渣	break into smithereens
后顾之忧	family worries
狼民	lustful citizens
滞留	remain
自幹五	self-motivated
煞筆	jackass
有範	stylish
雨露均霑	bestow benefits equally
親媽粉	birth mother fans
狗頭	dog head
丁日	dick
霉霉	Taylor Swift
字典	Chinese character dictionary
霸气外露	brimming with swagger
賽金花	Seth Meyers
禁慾系	abstinent sect
制服	subdue
陪跑	accompany
囧瑟夫	Joseph Gordon-Levitt
然並卵	useless
粗線	show up
自戳雙目	blind oneself
勞模姐	sister model worker
配合	matching
轨道	established path
水逆	Mercury retrograde
瑪麗蘇	Mary Sue
處女臉	virgin face
總攻本攻	attack all around
咆哮体	roaring style
補檔	re-upload
顏控	obsessed with beauty
前方高能	awesome imminent
現充	fulfilling life
城會玩	urban fun
滾床單	have sex
重叠	overlap
喪文化	pessimistic subculture
反轉	plot twist
回憶殺	emotional reminiscing
傳送門	teleporter
清流	honorable
上頭	intoxicated
戰鬥民族	fighting nation
次元壁	boundaries of fields
風騷走位	flirtatious walk
水軍	PR firm's online marketers
近代	modern times
謝耳朵	Jim Parsons
求生欲	will to live
肥宅	fat and indoorsy
票圈	friends
樓主	thread starter
地区	regional
老白	Bryan Cranston
腦子瓦特	damaged brain
照騙	inaccurate photo
跪舔	suck up to
身份	identity
熊本熊	Kumamon
加以	in addition
蠢哭	foolish cry
癡漢臉	infatuated face
尬黑	slander
真愛粉	true love fan
歪個樓	digress
亂入	unexpected appearance
發糖	display affection
纵横	warp and weft
貴圈真亂	chaotic field
喜大普奔	thrilling news
用力過猛	overexertion
刮鍋底笑	chortle
奶凶奶凶	adorably mad
先馬後看	bookmark
小奶狗	little puppy
黑花	Hey Wow
視姦	lewd stare
小公舉	feminine man
國民老公	national husband
杏紅	apricot pink
送命題	dangerous question
革命	revolution
鏟屎官	poo-scooping official
葛優癱	Ge You slouch
養成系	developing type
霸氣側漏	domineering
結石姐	Sister Calculus
藍瘦香菇	sad
開掛	cheating
土偶	unrefined idol
蛋妞兒	Egg lass
雅蠛蝶	elegant butterfly
油菜花	talented fan
武术	martial arts
陳大發	Chen Dafa
高考	college entrance exam
敲黑板	emphasize
涼涼	cool
剁手族	shopaholic
抖M	masochistic
心大	careless
不會聊天	not chat
霸道總裁	control freak
既視感	déjà vu
生無可戀	bummed out
習大大	Uncle Xi
炒CP	hype couple
招黑體質	easy target
日了狗	whining
拉仇恨	induce jealousy
公開處刑	shaming
蹭熱度	freeload
挽尊	save dignity
顏即正義	appearance justice
暴擊	critical hit
起来	beginning
黑人問號	perplexed
攤手	smugshrug
種草	recommend
聊聊人生	tease
壁咚	force against wall
已婚少女	married teenage girl
領盒飯	receive boxed lunch
A站	A site
外貌協會	good looks club
居老師	Teacher Ju
開黑	audio chat
腦洞	imagination
綠茶婊	calculating
自來水	tap water
深柜男	in the closet
網癮少女	Internet addiction
洗腦神曲	catchy song
在線	up to scratch
直女癌	straight woman cancer
人生贏家	winner in life
约定	agreement
備胎	spare tire
翻墻	climb over wall
墻裂	recommend
負能量	negative energy
宇宙觀	universe view
鬼畜	inflict suffering
作出	make a choice
为I做E	introverts' extrovert
什麼鬼	what the devil
老总	boss
磚家	charlatans
下来	come down
趕腳	feelings
卵巢彩票	lamentable
抱緊我	invite support
陳獨秀	not Chen Duxiu
画风突变	unexpected twist
鱸魚	derogatory nickname
鳳凰男	self-made men
本命	favorite star
抖S	seriously sadistic
我想靜靜	shocked
傲嬌	sassy
保持围笑	ironic repression
翻牌	being responded to
佛系追星	Buddhist fandom
鍵盤俠	Internet ranters
小確喪	frustrated
摸頭殺	flirting technique
李澤言	popular character
了解一下	invite to learn
道友	hobbyist
抗日神劇	mock epic dramas
偏偏	unfortunately
表情管理	facial expression management
課代表	hot topic explainer
擔當	[Role] assumption
叫獸	depraved professors
輕拍	mild criticism
吸貓	love for cats
逆天改命	defy destiny
秒刪	quick deletion
會聊天	know how to chat
麼麼噠	affectionate sound
豬精女孩	annoying women
總攻	natural leader
網感	level of interactivity
友盡	sever friendship
母職懲罰	mother’s role punishment
碰瓷	scamming
大豬蹄子	unwelcome man
厉害	amazing
約炮	casual sex
洪荒之力	catastrophic power
跳戲	unconvincing
微博淪陷	Weibo inundated
劃掉	cross out
反差萌	contrast cuteness
愛無能	inability to love
土創	Produce 101
白嫖飯	free patronize
鎖場	lock the auditorium
天仙攻	fairy attack
躺槍	lying down but still got shot
送你上墻	send you onto the wall
塘主	pond owner
帶節奏	lead rhythm
少女心	teen girl's heart
黑科技	black technology
土嗨	rustic excited
手撕鬼子	lacerate the devils
實力	real; strongly
蛙哥	brother frog
高仿號	high imitate account
三歲	three-year-old
老鹿蹣跚	an old deer staggers
反向育儿	reverse parenting
妖艷賤貨	pretty and coquettish
詩和遠方	poetry and the far-off land
殺馬特	smart
只有	only have
油膩	oily; greasy
老司機	the old driver
吃瓜群眾	watermelon-eating people
種子	torrent file
高級臉	high-end face
271	iQiyi
520	I love you
G点	G-spot
第X弹	No. X shot
三岁	Three-year-old
三连	A string of three
上头	On top of
乃们	You guys
乱入	Random enter
交给	To give
人设	Character design
你国	Your country
傲娇	Unfriendly and blunt
元气	Vitality
入画	Enter picture
内个	That one
冲鸭	Run duck
凉凉	Slightly cold
划掉	Cross out
卖腐	Sell gayness
厂牌	Brand
友尽	End of friendship
双标	Double standard
反转	Reversal
发糖	To give out candies
取关	To unfollow
古风	Old style
叫兽	Roaring beast
吓尿	Spooked pee
吸猫	To dote on cats
喷子	Internet troll
围笑	Surround smile
国漫	Chinese comics
土创	Indigenous & Unrefined Create
在线	Online
墙内	On this side of the wall
墙外	On the other side of the wall
墙裂	Wall crack
壮士	Hero
声控	Voice freak
备胎	fallback
奔现	meet-up
女频	female novels
娇嗔	coquettish
娇羞	bashful
定档	release date
宝妈	mom
实锤	solid proof
宠溺	indulgent
岛国	island nation
干货	knowledge
应援	show support
废柴	good-for-nothing
开挂	cheat
开画	movie premiere
开黑	audio chat
弃坑	abandon
强排	strongly support
总攻	take charge
情怀	feelings
懒癌	laziness
戏精	drama queen
戾气	evil tendencies
手贱	prone to touch
打脸	debunk
扶墙	shock
担当	take upon
拍砖	criticize
搬运	transport
摊手	throw up hands
撞脸	look alike
撩骚	flirt
擦妈	Christina Aguilera
收图	collect pictures
斗图	compete with pictures
断眉	Charlie Puth
新专	new album
无感	no feeling
暴击	critical hit
有范	stylish elegance
杏红	Affectionate nickname
某宝	Euphemism
楼主	Original poster
水军	Internet poster
湾湾	Nickname for Taiwan
灭霸	Thanos
炒鸡	Extremely
炮总	Nickname for Paul Bettany
炸号	Deactivated account
烧脑	Intellectually challenging
热单	Hit single
然后	Then
然鹅	However
煞笔	Final remarks
照骗	Flattering photo
狗头	Ironic emoticon
狗带	Go away
狗粮	Public display of affection
猫奴	Cat owner
现充	Fulfilling life
甜宠	Sweet and pampering
甩锅	Shift the blame
男频	Male novels
砖家	Charlatans
碾压	To trounce
私货	Personal opinion
种草	To recommend a product
秒删	To delete swiftly
站队	To take sides
粉头	Prostitute
粗来	Come out
粗线	To appear
紧脏	Nervous
约炮	One night stand
绿光	Mockery
绿绿	Muslims
网感	Level of interactivity
网红	Internet celebrity
网绿	Cheated on by partner
翻墙	Breach the Great Firewall
翻红	popular again
老湿	lecherous teacher
聊骚	flirting
背锅	scapegoat
脏辫	dreadlocks
脑斧	tiger
脑残	moronic
脑洞	creativity
脱粉	stop being a fan
脱线	derailment
脱饭	stop being a fan
脸大	bold
腻害	awesome
膨胀	inflate
节操	integrity
菇凉	girl
补档	re-upload
视奸	leer
讲真	honestly
诬陷	frame
赛高	awesome
走肾	infatuation inducing
赶脚	carter
跳戏	unconvincing performance
躺枪	unfairly targeted
车震	car sex
软妹	feminine
轰趴	party
轻拍	gentle criticism
这货	this dude
追剧	binge-watch
逆袭	counterattack
钟黑	Wallace Chung detractors
钱妞	Kesha
锁场	lock the auditorium
锤哥	Chris Hemsworth
阔以	can
雾草	euphemism for "I fuck"
颜控	attaches importance to good looks
颜狗	person attracted to good-looking people
颜艺	facial expression
饭制	fan-made
饭拍	fan-shot
鲈鱼	bass/perch
鹅厂	Tencent
黄桑	Emperor
一丢丢	a tiny bit
严肃脸	stern-faced
丧文化	vegetating subculture
举高高	hoist high
么么哒	gentle kiss
习大大	Papa Xi
买买买	splurge
买家秀	customer’s demo
云吸猫	cat lovers
五毛党	fifty cents party
亲妈粉	birth mother fans
什么鬼	What the devil
会聊天	know how to chat
伟光正	great, honorable, correct
传送门	portal
何老师	Teacher He
养成系	developing type
内心戏	psychological drama
凤凰男	countryside guy
分分钟	instantly
劳模姐	model worker sister
单身汪	single
卖家秀	seller’s demo
原著党	original work party
双标狗	double standard
史诗级	epic
吓出翔	scare the crap out of me
回忆杀	memory kill
土肥圆	unsophisticated, fat, round
圣诞趴	Christmas party
地图炮	discrimination
城会玩	urban residents know how to have fun
处女脸	virgin face
天啦噜	zoikes
女司机	inexperienced driver
女权婊	anti-feminist
女权癌	anti-feminist
妈卖批	vulgar insult
宇宙观	worldview
小公举	non-macho
小确丧	frustrated
小鲜肉	teen idol
小黄书	erotic literature
尴尬症	embarrassment
尴尬癌	embarrassment
居老师	nickname
带节奏	instigate
并没有	not really
广萝丽	Layla
开封菜	KFC
怎么破	how to solve
我们家	our home
打篮球	play basketball
扣扣熊	Stephen Colbert
技术宅	indoorsy geek
抖机灵	show off wit
抖腿党	jittery legs
抱紧我	hold me tight
摸头杀	head caress
撒狗粮	lovey-dovey
斯巴达	Sparta
既视感	déjà vu
智商税	stupid tax
本宝宝	play cute
杀马特	urban migrants
李泽言	Li Zeyan
标题党	clickbait
歪个楼	digress
毁童年	destroy childhood
汤老湿	Tom Hardy
没眼看	hideous
没节操	unethical
活久见	incredible
渣渣辉	Nick Cheung
滚床单	have sex
然并卵	ultimately useless
爱无能	inability to love
猫系男	catlike man
王奶婷	Netta
玛丽苏	Mary Sue
男闺蜜	woman’s male confidante
画风	painting style
痴汉脸	infatuated man’s face
白嫖饭	fans who patronize for free
白莲花	pretend to be kind
真爱粉	true love fan
砸简历	smash resumes
碎碎念	prattle
禁欲系	abstinent sect
系领带	wear a tie
纽扣儿	button
结石姐	Sister Calculus
绿茶婊	calculating and manipulative
老司机	an old hand at sth
老干部	old cadres
肉体饭	body fan
背锅侠	scapegoat
脑残粉	fanboy/fangirl
自干五	person who posts online in support of the Chinese government
萌萌哒	adorable
葛优瘫	Ge You slouch
蛋妞儿	Egg lass
装逼犯	boast criminal
裳雅楠	Nancy
诺兰黑	Christopher Nolan detractors
课代表	class representative
谢耳朵	Xie Ear
负能量	negative energy
赛金花	Seth Meyers
踢足球	play football
蹭热度	piggyback on popularity
躁起来	get excited
送分题	very easy question
送命题	dangerous question
逆生长	rejuvenation
配一脸	compatible
金拱门	McDonald's
铲屎官	pet owner
键盘侠	keyboard warrior
陈大发	Ivy Chen
陈独秀	Chen Duxiu
陈老师	Edison Chan
领盒饭	receive a boxed meal
马杀鸡	massage
高仿号	fake celebrity accounts
高级脸	high-end face
麻辣鸡	Nicki Minaj
黑历史	embarrassing past
龚美丽	Meili
上头姐妹	intoxicated sisters
不会聊天	inept at chatting
不喜勿喷	don't rant if you don't like
不忍直视	cannot bear to look
不服来战	come and fight if not convinced
业界良心	industry conscience
丧心病狂	deranged
中央空调	ladies' man
主角光环	main character's halo
亲测有效	tested and effective
人生赢家	winner in life
人设已崩	image ruined
以梦为马	dream as a horse
低分飘过	narrowly pass with a low score
先马后看	bookmark for later
公开处刑	public penalization
刮锅底笑	Wallace Chung's laugh
单身​狗	single dog
可以说是	it can be said that
可盐可甜	cool and imposing as well as gentle and adorable
吃瓜群众	peanut gallery
国民老公	national husband of China
土味情话	cheesy pick-up lines
地表最强	the strongest on the face of the earth
外貌协会	good-looks club
大猪蹄子	undesirable man
太阳女神	Goddess Sun
好奇宝宝	Curious baby
妖艳贱货	Pretty and coquettish
干得漂亮	Well done
床上运动	Sexual intercourse
微博沦陷	Weibo account inundated
总攻本攻	Attack all around
怼天怼地	Lash out fearlessly
我想静静	I want some quiet time
战斗民族	The fighting nation
打哈欠	Yawning
扶我上墙	Help me get onto the wall
抗日神剧	Epic dramas
招黑体质	Criticism-inducing
放飞自我	Behave with abandon
教科书般	Textbook
普天同庆	Celebrating together
暗中观察	Observe furtively
暴露年龄	Give away one’s age
朝阳群众	People of Chaoyang District
机智如我	Witty like me
槽点满满	Full of problems
母职惩罚	Mother’s role punishment
求锤得锤	Demand proof
洗脑神曲	Brainwashing epic song
灵魂舞者	Soul dancer
点赞之交	Click like acquaintances
猪精女孩	Pig spirit girl
王之蔑视	The King’s contempt
生无可恋	Nothing left to live for
用力过猛	Use too much strength
盛世美颜	Incredibly gorgeous
目测要火	Will go viral
相爱相杀	Love-hate relationship
神经病啊	Neurotic
科学上网	Surf the web scientifically
粉丝滤镜	Fan filter
累觉不爱	Disenchanted with sth
细思恐极	Think carefully to the extreme
网瘾少女	Internet addiction
老鹿蹒跚	reluctant
职业假笑	insincere smile
脑子瓦特	damaged
自带滤镜	beautiful
自戳双目	appalling
蓝瘦香菇	sad
解锁技能	learn
诗和远方	inner peace
贵圈真乱	scandalous
过气网红	former celebrity
送你上墙	approval
钢铁直男	unempathetic
镇魂女孩	fans
霸气侧漏	domineering
霸道总裁	overbearing
颜值巅峰	attractive
颜值爆表	cute
颜即正义	appearance
风骚走位	flirtatious
饭随爱豆	similar
马路杀手	poor driver
高光时刻	glamorous
黑人问号	perplexed
你缺什么	missing
亲密关系	intimate
感应	sense
摇摆舞	swing
很可惜	unfortunately
不可数	uncountable
法官判决	judgment
截图	screenshot
行星	planet
简单来说	simply
纯洁性	Purity
眼睛亮了	Starry-eyed
获奖小说	Award-winning novel
圣经	Bible
忍着	Endure
时薪	Hourly
周年纪念	Anniversary
打八折	20% off
缺少睡眠	Lack of sleep
总的来说	In general
神圣性	sacredness
流星	meteor
胡言乱语	babbling
逻辑关系	Logical
打哈欠🥱	Yawning
骨肉相连	telepathic
优惠券	coupon
动词	verb
承诺书	promise
不管穷富	regardless of wealth
图瓦人	Tuvans
黄金法则	Golden Rule
非洲舞	African dance
打广告	advertise
发生矛盾	Conflict
胡说八道	nonsense
道家	Taoist
恒星	star
祖传秘方	ancestral secret
人生目标	life goals
骨肉	flesh and blood
泛音列	overtone
石家庄	Shijiazhuang
依附关系	dependence
可数	countable
祖宗	ancestors
泛音唱法	overtone singing
新鲜感	freshness
学武术	martial arts
搞乱	confuse
母子一场	mother-son
陌生人	stranger
钱不够	insufficient
月薪	monthly salary
嬉皮士	hippie
幸福感	Happiness
闪离	breaking off
高低起伏	ups and downs
人生意义	Meaning of life
薅羊毛	getting a good deal
舞蹈课	dance class
时间不够	not enough time
时间限制	time limit
祖传	ancestral
画风​	style
闪婚	engaged
不自在	self-conscious
幽默感	humor
存起来	save
乱说乱动	irresponsible
给你看	show
中风	stroke
嘹亮	loud
法律责任	legal responsibility
咒语	spell
剪羊毛	shearing
友情	friendship
纯素食	vegan
日料	Japanese food
养猫	raising cats
朋友们	friends
心心相印	heartfelt
一首诗	poem
感应器	sensor
家人们	family
亲情	family love
主语	subject
志向	ambition
解释原因	explain
互相帮忙	help each other
诅咒	curse
棘手	problematic
不合理	unreasonable
教科书	textbook
朋友之间	among friends
变老了	aging
希腊语	Greek
发微信	send WeChat
隐喻	metaphor
互相喜欢	mutual liking
工作狂	workaholic
开聚会	gather
发邮件	send email
政客	politician
越南语	Vietnamese
分开付	separate payment
抚养权	custody
年纪轻轻	young
生物学	biology
出去逛逛	go out
一美分	one cent
格格不入	inharmonious
意第绪语	Yiddish
购物狂	shopaholic
价值观	values
发短信	texting
交税	tax
很烦	annoyed
插队	cut in line
加班费	overtime pay
解读	interpret
沈朗天	unknown
比起	compared
打疫苗	vaccination
不可描述	indescribable
二代移民	second-generation immigrant
占星	astrology
一封信	letter
希伯来语	Hebrew
互相尊重	mutual respect
遗传病	hereditary disease
病床	hospital bed
知识渊博	erudite
让人放松	relaxing
不找对象	single
因果关系	causality
泰语	Thai
发帖子	posting
交网费	paying internet fee
躲开	avoid
读书会	study group
母女一场	mother-daughter
酒肉朋友	fair-weather friend
荆棘	thorny
副词	adverb
说到	talk about
相爱	love
阿拉伯语	Arabic
找原因	find reasons
在生活上	in life
在饮食上	in diet
在工作上	work-related
松鼠🐿️	squirrel
互相吸引	mutually attractive
互相理解	mutual understanding
交通工具	transportation
特色菜	specialty
微信群	WeChat group
男性主导	male dominance
前提条件	prerequisites
网球馆	tennis hall
王嘉尔	Jackson Wang
毛茸茸	fluffy
拖拉机	tractor
安抚	appease
盔甲	armor
鲟鱼	sturgeon
我不在乎	I don't care
而不是	instead of
纸老虎	paper tiger
楔形文字	cuneiform
莫言	Mo Yan
流血	bleed
合肥方言	Hefei dialect
咪雅	Miya
当爸爸	be a dad
饥荒	famine
生词表	vocabulary list
川普	Trump
平均身高	average height
电子痕迹	electronic traces
不同的	different
梦到	dream about
A变了	A has changed
睫毛	eyelash
易建联	Yi Jianlian
匿名	anonymous
辨音能力	sound discrimination ability
拿走狗	take away the dog
仙子	fairy
分析案例	analysis case
连续性	continuity
社会运动	social movement
跨性别	transgender
一根手指	a finger
杀手	killer
物体	object
总体上	on the whole
虚弱	weak
日落	sunset
小舌音	uvular sound
次货	defective goods
通读全文	read the full article
日益减少	decreasing
命案	murder case
评测	evaluation
鼻炎	rhinitis
拜个师傅	learn from a master
齿音	dental consonant
大脑🧠	Brain 🧠
差不多高	about the same height
连词	conjunction
一米九	1.9 meters
以父之名	in the name of the father
库尔德语	Kurdish
公司规模	company size
符合标准	meet standards
新手	newbie
单人床	single bed
可比性	comparability
科技公司	technology company
名扬天下	be famous all over the world
清蒸	steamed
照镜子	look in the mirror
特质	trait
知无不言	tell everything you know
晒黑	to sunbathe
鲱鱼	herring
大后天	the day after the day after tomorrow
护肤品	skin care products
大调音阶	major scale
光是吃	only eat
谨言慎行	be cautious
他很准时	he is on time
近似	similar
荒郊野里	in the wilderness
机考	computer-based test
全职	full time 
巡抚	governor
合肥话	dialect
强令	force
豌豆	pea
君主斑蝶	butterfly
脑震荡	concussion
下地狱	hell
足迹	footprints
天干地支	heavenly stems
半音	semitone
不送气	unaspirated
内华达	Nevada
尺度太大	too sexual
搭嘴音	click consonant
刻板印象	stereotype
玳瑁猫	tortoiseshell cat
一拜天地	homage
送气	aspiration
试试	try
拍照片	take photos
符合要求	meet requirements
游牧民族	nomads
某人	someone
贴纸	sticker
丢失	lost
一票否决	veto
徒步	on foot
世俗	secular
全音	whole tone
灵异经历	paranormal experience
白菜猪肉	pork with cabbage
硕果累累	fruitful
语源学	etymology
直播经济	live broadcast economy
罐头	tin
笼子	cage
光谱	spectrum
流浪汉	homeless person
用法更广	general usage
雅思	IELTS
中式	Chinese style
土猫	native cat
负伤	wounded
音节辅音	syllabic consonant
尤其是	especially
情绪崩溃	emotional breakdown
破解	decipher
换季	season change
本地的	local
性格特质	character trait
骨折	fracture
台湾	Taiwan
公司收入	revenue
慢热	slow to warm up
学霸	straight A student
活在当下	living in the moment
罗非鱼	tilapia
泡泡	bubbles
开心果	pistachio
医疗保险	medical insurance
揣测	speculation
精神内耗	mental friction
负责任	responsible
多巴胺	dopamine
田野调查	fieldwork
有局限	limitations
所做	done
星球大战	Star Wars
防火墙	firewall
努力💪	work hard 💪
延迟	delay
厄瓜多尔	Ecuador
无厘头	nonsense
插件	plug-in
音阶	scale
肌酸	creatine
主修专业	major
50集	50 episodes
审核	censorship
大概了解	roughly understand
两-三年	2-3 years
脱欧	Brexit
有口音	accent
冒号	colon
洗碗机	dishwasher
词语搭配	collocation
视角	perspective
宾语	object
打叉✖️	cross
500亿	50 billion
硅谷	Silicon Valley
密集训练	intensive training
带货主播	anchor
羊驼毛	alpaca wool
三月六号	March 6th
信任他	trust
一段时间	a period
暖气机	heater
假定	assumption
按照计划	according to plan
机器翻译	machine translation
酸菜鱼	boiled fish
一段关系	relationship
土著	indigenous
寄生虫🪱	parasite
软腭化	velarization
虽说如此	having said that
行李牌	luggage tag
鳕鱼	cod
他临死前	before he died
光线很强	bright light
好自为之	take care
一段爱情	love
本来应该	should have been
召唤	summon
训诫	reprimand
月收入	monthly income
暖气片	radiator
印地语	Hindi
博士后	postdoc
义乌	Yiwu
一段婚姻	marriage
冬眠	hibernate
齿龈后音	postalveolar sound
印度神话	indian mythology
校友会	alumni association
理想化	idealize
有思想	profound
维他命	vitamin
鳟鱼	trout
工作表现	performance
化解冲突	resolve conflicts
自由职业	freelance
几千年前	thousands of years ago
代词	pronoun
盘腿坐	sit cross-legged
爱狮克	ISAG
共产党人	communist
保持联系	keep in touch
叫外卖	order takeout
六尺三寸	six feet three inches
预想到	expected
有争议的	controversial
小篆	Xiaozhuan
纠正错误	correct errors
特别是	in particular
麝牛	musk ox
无思无想	no thoughts
无性恋	asexual
杀死	kill
依附理论	attachment theory
非得	must
年收入	annual income
不甚至	not even
安定下来	settle down
放荡不羁	bohemian
工作室	studio
双性恋	bisexual
未分化	undifferentiated
后三天	latter three days 
塔罗牌	tarot cards
忧伤	melancholy
双人床	double bed
拿绿卡	Get green card
可许证	Licensable
文化交流	cultural exchange
塞音	plosive
让人讨厌	hateable
雪糕	ice cream
小红书	little red book
剑鱼	swordfish
经济学者	economist
唤醒	awakening
墨鱼	cuttlefish
声门音	glottal sound
前三天	first three days
鼻音化	nasalization
手指交叉	cross fingers
相由心生	phase comes from the heart
负债	loan
虎妈	tiger mother
博主	blogger
播客	podcast
共产主义	communism
春困秋乏	sleepiness in spring
标语	slogan
皮划艇	canoe
乡土社会	rural society
不能忘本	Don't forget your roots
科学家	scientist
绩点	GPA
跳下床	jump out of bed
羊毛	wool
回见	See you later
双唇音	bilabial sounds
近义词	synonym
西式	Western
很麻烦	Troublesome
欧楂变软	medlars becomes soft
自由恋爱	love marriage
地理位置	geographical location
野餐	picnic
教学方法	teaching method
花时间	Spend time
安排时间	schedule
瞎扯蛋	talk nonsense
小提琴	violin
温馨	warm
连接的	connected
内耗	internal friction
点赞	like
海鲈	sea bass
负债累累	Heavy in debt
倒下	fall down
卷舌音	Retroflex sound
跨学科	interdisciplinary
我醒了	I woke up
抢亲	bride kidnapping
解聘	to fire
辅音	consonant
打钩	Tick
占有欲	Possessive
华尔兹	Waltz
尊重别人	respect others
拉肚子	have diarrhoea
当做	to treat as
百科全书	encyclopedia
按照要求	as required
宠坏	to spoil
挤喉音	ejective sound
天黑	dark
参议员	senator
元音	vowel
摄像头	CCTV
午夜	midnight
气度	bearing
一米五五	1.55 meters
底部	bottom
发圈	scrunchy
微妙	subtle
赌输	lose
路人甲	passerby
家养的	domesticated
前些年	a few years ago
唇音化	labialization
核心词	core words
冰沙	smoothie
电脑科学	computer science
情感勒索	emotional blackmail
一个顺序	a sequence
知识很广	broad knowledge
变性	sex change
纯律	Just intonation
汉藏语系	Sino-Tibetan
幸福阀值	happiness threshold
沪语	Shanghainese
零和社会	zero sum society
高/ 矮	tall/short
音程	interval
面试官	interviewer
前端	front end
阶级	social class
传统妻子	traditional wife
知足	content
读硕士	study for a master
两个月	two months
锤子	hammer
内爆音	implosion
陪家人	spend time with family
职业发展	career development
落汤鸡	drowned rat
交友软件	dating app
数字劳工	digital labor
手语	sign language
靠自己	Rely on yourself
机会降临	opportunity comes
评判	judge
香蕉蛞蝓	banana slug
转发	share
破案	solve the case
深不见底	bottomless
树根	root
人脉	connections
散漫	flaky
欢迎光临	Welcome
社会福利	social welfare
卷入	involved
尽管这样	in spite of this
面临情况	facing situation
装饰品	decoration
腓尼基人	Phoenicians
本土的	native
近音	approximant
印象深刻	Impressive
净效应	net effect
核武器	nuclear weapon
创可贴	band-aid
小调音阶	Minor scale
演奏音阶	play a scale
某事	something
化解矛盾	resolve conflicts
语系	language family
社会学	sociology
编程能力	Programming ability
新能源车	New energy vehicles
杂草	weeds
血清素	serotonin
戒毒	detoxification
语源	etymology
眼皮跳了	Eyelids twitched
表亲	cousin
分开翻译	Translate separately
